gene	SRR17276325	SRR17276326	SRR17276331	SRR17276332	SRR17276333	SRR17276334	SRR17276335	SRR17276336	SRR17276337	SRR17276338	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000185261	36.27317	14.04937	19.01888	25.66576	19.50335	12.54152	11.64532	15.87872	24.22302	26.77875	173.29728	-0.51348	0.31458	-1.63226	0.10262	0.99999
ENSG00000113648	251.08112	256.70786	287.70714	286.01279	315.87238	337.69212	276.98452	316.47514	278.68122	266.81377	2410.75406	0.0351	0.10824	0.32424	0.74576	0.99999
ENSG00000038382	204.89918	199.82838	269.15441	203.88236	387.61197	371.22908	194.05242	343.22468	212.06791	221.53333	2171.84176	0.16557	0.23773	0.69647	0.48613	0.99999
ENSG00000177733	51.66715	57.42508	71.0411	56.30426	73.92178	89.46286	68.78358	96.12734	59.6259	60.86081	573.14035	0.21222	0.18057	1.17527	0.23989	0.99999
ENSG00000150756	10.79348	12.68535	15.56938	13.63493	11.32012	13.65632	13.06017	10.87082	13.50899	14.93118	109.68603	-5e-04	0.19301	-0.00259	0.99793	0.99999
ENSG00000150753	200.82951	184.415	266.63721	242.86223	184.80444	224.63261	197.7528	194.20898	178.17897	214.47348	1758.05612	-0.04132	0.16451	-0.25114	0.80171	0.99999
ENSG00000271980	103.3343	89.07026	49.50502	36.73412	25.09522	27.96295	23.94365	28.82599	32.60792	29.13204	371.52948	0.05113	0.46054	0.11103	0.91159	0.99999
ENSG00000164237	16.10175	11.73054	8.29745	7.86014	8.86516	6.78171	12.08066	7.93936	10.2482	10.14347	83.99094	-0.32605	0.24862	-1.31142	0.18972	0.99999
ENSG00000145491	1.59248	0.68201	0.83907	1.60411	1.36387	1.3935	1.63252	0.61072	1.97977	1.54181	11.20375	-0.5238	0.44198	-1.1851	0.23598	0.99999
ENSG00000290548	3.89273	2.31883	3.91565	2.8874	8.04684	8.26812	1.85019	9.77152	3.26079	2.27214	38.25686	0.5234	0.49279	1.0621	0.28819	0.99999
ENSG00000246596	1.41554	2.04602	1.49168	0.80205	1.77303	1.7651	1.63252	2.68717	1.28103	1.94755	14.07389	0.19532	0.37815	0.51653	0.60548	0.99999
ENSG00000113583	90.94834	94.93553	102.646	153.99455	86.333	79.52255	95.23044	88.31012	124.14299	145.17331	901.11147	-0.28167	0.25344	-1.11138	0.2664	0.99999
ENSG00000213585	120.67465	140.63007	165.01673	174.04592	133.11375	127.18033	152.6952	127.27406	139.04947	164.16188	1219.36841	-0.14476	0.17427	-0.83065	0.40617	0.99999
ENSG00000271737	3.00802	1.09121	1.77137	2.40616	1.22748	1.6722	1.74136	0.61072	1.39748	1.46066	13.8003	-0.57983	0.42223	-1.37326	0.16967	0.99999
ENSG00000081059	20.17142	9.00251	5.03441	5.13315	13.09316	10.96222	6.53009	11.35939	9.433	4.54427	78.62259	-0.1071	0.40452	-0.26476	0.7912	0.99999
ENSG00000047188	47.95136	41.32969	50.15763	34.64877	72.96707	59.54901	34.93597	53.62122	57.87905	49.82471	420.07281	0.09762	0.21112	0.46238	0.64381	0.99999
ENSG00000171444	35.74234	56.06107	46.70813	21.65548	49.64488	37.99617	47.8873	30.90244	21.54452	17.77136	304.37968	0.13749	0.33099	0.4154	0.67785	0.99999
ENSG00000174136	167.56435	94.66273	110.10438	132.33906	132.02265	114.26721	114.60303	136.43486	146.38625	115.14864	1060.02938	-0.17002	0.16097	-1.05623	0.29086	0.99999
ENSG00000246763	59.27567	35.19162	16.68813	19.57014	13.22954	14.12083	11.10115	15.268	15.3723	11.84757	175.73122	-0.25598	0.47423	-0.53977	0.58935	0.99999
ENSG00000279232	400.59736	236.38401	90.24644	100.25687	95.47093	85.56106	78.46988	92.58516	119.36826	81.31004	1144.73493	-0.2759	0.47659	-0.57891	NA	NA
ENSG00000153922	199.06008	190.28027	236.33752	199.55127	340.28566	313.25937	155.08957	219.2485	184.00181	185.90947	1853.65936	0.04837	0.21916	0.22071	0.82532	0.99999
ENSG00000248489	6.90075	6.00167	7.92453	6.89767	9.68348	6.78171	5.65941	8.42794	8.03552	7.70904	62.0786	-0.0288	0.20631	-0.13958	0.88899	0.99999
ENSG00000291283	2.30025	2.18243	1.58491	0.80205	2.04581	1.3935	1.63252	2.32074	1.04811	2.02869	14.46413	-0.11378	0.38252	-0.29746	0.76612	0.99999
ENSG00000113712	275.14527	238.15724	241.2787	242.06018	245.76944	253.61746	253.58504	252.22739	235.12636	218.9366	2059.84727	-0.05771	0.0664	-0.86914	0.38477	0.99999
ENSG00000230551	26.3644	13.77656	18.4595	15.07863	33.96037	28.70615	16.65172	27.60455	23.29137	16.55414	183.23373	0.02251	0.26953	0.08352	0.93344	0.99999
