gene	SRR17276325	SRR17276326	SRR17276331	SRR17276332	SRR17276333	SRR17276334	SRR17276335	SRR17276336	SRR17276337	SRR17276338	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000121957	165.79493	190.14386	121.66488	97.20906	110.4735	115.56781	113.51468	117.50254	90.71988	87.31497	1009.92702	0.09584	0.12629	0.7589	0.44791	0.99924
ENSG00000225721	22.82556	21.27865	9.60267	8.98302	8.456	10.21902	8.27144	8.79437	7.56969	5.59919	92.70637	0.11178	0.2255	0.4957	0.62011	0.99924
ENSG00000188396	2.30025	1.09121	1.02553	1.28329	0.95471	0.8361	0.65301	0.48858	0.58228	1.21722	8.74787	-0.66253	0.63178	-1.04866	0.29433	NA
ENSG00000230186	0.70777	0.1364	0.27969	0.16041	0.54555	0.929	0	0.12214	0.11646	0.32459	2.72816	-0.09322	1.2081	-0.07716	0.93849	NA
ENSG00000082482	4.77744	2.31883	11.37403	0	14.7298	23.03924	3.04737	11.35939	0.46583	0.24344	57.78061	1.40884	1.05911	1.33021	0.18345	0.99924
ENSG00000116747	634.51507	531.01152	553.8782	517.96707	466.58006	467.65945	501.18418	529.86073	500.76442	514.15208	4381.87715	-0.0654	0.11086	-0.58996	0.55522	0.99924
ENSG00000134207	3.18496	2.04602	2.05106	7.86014	1.90942	1.3006	2.72087	1.34358	6.63804	2.84017	27.34933	-0.62233	0.47754	-1.3032	0.19251	NA
ENSG00000163467	1.94637	1.22761	1.02553	1.28329	0.81832	1.1148	0.3265	0.36643	0.34937	1.05492	7.96393	-0.43713	0.68541	-0.63776	0.52363	NA
ENSG00000243710	4.6005	4.91046	3.26304	6.73726	3.40968	3.62311	3.37388	4.27504	11.0634	11.11724	48.22876	-0.15104	0.32243	-0.46845	0.63946	NA
ENSG00000117395	62.81451	58.6527	62.18427	59.8333	45.55327	45.33528	49.51983	42.87255	49.02833	57.53375	449.18295	-0.14086	0.14328	-0.98309	0.32556	0.99924
ENSG00000116874	18.57894	14.32217	18.36627	15.88069	17.45754	16.25753	13.71318	15.87872	10.48112	11.44183	127.31981	-0.07666	0.19944	-0.38438	0.7007	0.99924
ENSG00000065600	57.68319	42.2845	57.70924	59.51248	37.9156	45.05658	44.29576	39.81895	37.84847	49.74357	397.45959	-0.20149	0.16205	-1.24339	0.21373	0.99924
ENSG00000009780	29.72631	38.46526	33.28304	41.22562	32.05095	31.95766	38.96285	37.25392	48.32959	48.4452	321.2658	-0.04881	0.16966	-0.28768	0.77359	0.99924
ENSG00000023572	186.67412	149.35978	73.46508	60.47494	63.28359	59.45611	65.19204	67.78993	68.24371	60.13048	710.96613	-0.02278	0.13555	-0.16805	0.86654	0.99924
